numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20170201000000;101410;-40;8;130;3.100000;281.450000;281.350000;99;780;45;mq;mq;mq;mq;mq;mq;mq;mq;100530;mq;mq;0;mq;mq;mq;mq;279.350000;mq;mq;5.300000;6.200000;-10;mq;0.000000;mq;mq;0.400000;0.400000;0.400000;0.400000;2.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20170201000000;101530;-50;6;130;3.100000;276.950000;276.950000;100;260;45;mq;mq;101;9;30;mq;mq;mq;100950;mq;mq;50;mq;mq;mq;mq;276.350000;mq;mq;4.100000;4.100000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20170201000000;101030;-70;8;180;6.800000;283.850000;282.750000;93;8000;2;2;mq;100;8;450;37;mq;mq;100930;mq;mq;-140;mq;mq;mq;mq;mq;mq;mq;9.400000;12.700000;-10;mq;mq;mq;mq;0.000000;0.200000;0.200000;2.800000;4.200000;mq;mq;mq;mq;8;7;500;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20170201000000;101210;-40;8;160;3.400000;284.150000;282.850000;92;12520;0;mq;mq;100;8;1750;mq;mq;mq;100400;mq;mq;-80;mq;mq;mq;mq;281.450000;mq;mq;4.600000;6.100000;-10;1;0.000000;mq;mq;0.000000;0.000000;-0.100000;1.400000;1.800000;mq;mq;mq;mq;8;mq;1680;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20170201000000;101400;-20;5;180;3.600000;283.350000;283.050000;98;2570;10;mq;mq;100;8;80;mq;mq;mq;99570;mq;mq;50;mq;mq;mq;mq;281.650000;mq;mq;5.400000;5.900000;-10;mq;0.000000;mq;mq;0.000000;0.600000;0.800000;0.800000;1.400000;mq;mq;mq;mq;8;mq;60;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20170201000000;101630;-10;8;130;2.100000;278.450000;278.450000;100;1780;10;mq;mq;100;8;80;mq;mq;mq;100460;mq;mq;220;mq;mq;mq;mq;277.050000;mq;mq;2.900000;4.900000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;0.200000;1.600000;mq;mq;mq;mq;8;mq;90;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07110;20170201000000;101020;-90;8;160;3.800000;282.750000;282.750000;100;940;45;mq;mq;101;9;30;mq;mq;mq;99840;mq;mq;-40;mq;mq;mq;mq;mq;mq;mq;5.000000;6.500000;-10;2;0.000000;mq;mq;0.000000;2.900000;7.300000;8.300000;10.900000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07117;20170201000000;101050;-10;8;350;1.700000;282.750000;282.250000;97;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100350;mq;mq;-60;mq;mq;mq;mq;mq;mq;mq;2.500000;3.300000;-10;mq;mq;mq;mq;0.400000;2.000000;2.000000;2.000000;2.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20170201000000;101200;-40;8;170;3.100000;283.850000;282.750000;93;9800;0;mq;mq;100;8;800;mq;mq;mq;100750;mq;mq;-120;mq;mq;mq;mq;282.250000;mq;mq;4.300000;4.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.200000;2.600000;mq;mq;mq;mq;8;mq;990;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20170201000000;101360;-40;7;190;2.500000;283.150000;282.850000;98;1400;10;mq;mq;100;8;80;mq;mq;mq;99610;mq;mq;0;mq;mq;mq;mq;279.850000;mq;mq;3.700000;4.500000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;0.200000;1.000000;mq;mq;mq;mq;8;mq;60;mq;mq;mq;mq;mq;mq;mq;mq;mq;
